i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
1 1 0.2 1500 300 4211 2505 2321 2223 1996 1818 48702 31326 127486 105378 89709
2 1 0.2 1500 300 3041 1575 1540 1559 1979 1969 38737 22530 81524 67998 51147
3 1 0.2 1500 300 3674 1880 1796 1817 2111 2113 34845 19479 66576 52231 46994
4 1 0.2 1500 300 2940 1443 1437 1451 1605 1600 31148 16597 78134 64164 33779
5 1 0.2 1500 300 7841 4301 9232 4435 4223 3916 59250 36311 423231 343824 260695
6 1 0.2 1500 300 5660 3043 2964 2968 2400 2374 64709 41963 77389 60630 176881
7 1 0.2 1500 300 3554 1756 1768 1812 1889 1990 32704 17817 69229 55241 26529
8 1 0.2 1500 300 4563 2668 3870 2314 1871 1692 37919 20553 37987 31225 179027
9 1 0.2 1500 300 8355 4351 2551 4003 4194 4001 53922 35056 69976 57314 163629
10 1 0.2 1500 300 7766 3881 3866 3811 3259 3258 37333 21548 64715 51948 171397
1 1 0.2 2000 400 18501 10965 10887 10718 9050 9004 113506 61668 1690404 1414627 311358
2 1 0.2 2000 400 8111 4644 4516 4523 4009 3859 107258 57239 163451 136130 110724
3 1 0.2 2000 400 24452 13517 13491 13572 12354 12245 79708 39072 594147 492341 874729
4 1 0.2 2000 400 14647 8426 8393 8593 5456 5511 131041 73365 168187 145454 267896
5 1 0.2 2000 400 8986 5035 23602 5047 4434 4427 134718 72618 1080101 878215 200090
6 1 0.2 2000 400 22382 12344 23672 12306 7912 7842 271501 164460 156280 127855 849110
7 1 0.2 2000 400 11353 6032 6041 6061 5812 5841 249695 151527 539178 447586 189850
8 1 0.2 2000 400 28486 16359 16397 16411 15564 15650 278916 172555 567458 467574 974617
9 1 0.2 2000 400 24287 13896 11951 14025 11935 12170 98829 54995 197199 160787 774821
10 1 0.2 2000 400 18188 10145 18476 10138 7178 6988 262216 162391 1318051 1080209 361505
1 1 0.2 2500 500 22207 12073 12060 12041 9752 9788 280430 156309 593833 509436 217459
2 1 0.2 2500 500 18044 10362 70209 10144 9964 9899 373209 216207 1028341 867062 684651
3 1 0.2 2500 500 19741 10811 10843 10842 9370 9434 369178 207026 486461 411453 344787
4 1 0.2 2500 500 54481 32038 31944 31890 17177 17128 576641 357378 2306104 1959630 961697
5 1 0.2 2500 500 63979 37607 37624 37737 26747 26443 322235 184961 577402 473515 2273930
