instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-627 40 0.839744 28 0.507937 29119988 6279671 6279671 6279671 25780902 8973464 55055302 10201689 10201689 10201689 19209188 10534745 10534745 10534745
r-498 26 0.704615 13 0.858974 30029 5790 30029 5790 30278 5687 24931 4675 24931 4675 41608 38803 41608 38803
r-757 15 0.209524 21 0.161905 17695 117294 17695 17695 91441 23322 18922 128050 18922 18922 48946 146256 48946 48946
r-665 12 0.272727 18 0.542484 3431 5209 5209 3431 6894 2531 3889 6285 6285 3889 4172 4779 4779 4172
r-447 30 0.124138 31 0.651613 470982 245619 245619 470982 564034 299147 785315 414537 414537 785315 747121 438147 438147 747121
r-637 16 0.675 33 0.244318 54227 81713 54227 54227 103193 50493 75087 109773 75087 75087 104781 126012 104781 104781
r-816 35 0.710924 35 0.196639 2289730 2352579 2289730 2289730 2968223 1635434 3974572 3840050 3974572 3974572 3895578 3758910 3895578 3895578
r-34 22 0.688312 24 0.764493 666717 2026998 666717 666717 1524220 747443 962098 3193288 962098 962098 1267654 1795327 1267654 1267654
r-260 10 0.488889 25 0.516667 4078 14296 4078 4078 14256 4073 4235 14767 4235 4235 3273 12219 3273 3273
r-835 26 0.618462 30 0.926437 53902 7159765 53902 53902 4058155 78582 75101 10061970 75101 75101 276277 16215292 276277 276277
r-287 13 0.384615 40 0.278205 5436 69896 5436 5436 65247 5665 4816 68686 4816 4816 6593 40278 6593 6593
r-882 22 0.82684 38 0.0896159 34554 46311 34554 34554 60073 22399 54377 76924 54377 54377 64981 67833 64981 64981
r-436 32 0.758065 15 0.133333 11838 21116 11838 21116 18926 15490 17685 35264 17685 35264 20963 23779 20963 23779
r-257 36 0.274603 31 0.597849 25745303 30231851 30231851 30231851 32492313 20909065 43162547 56206378 56206378 56206378 47093261 40912737 40912737 40912737
r-532 38 0.916074 29 0.137931 91056 76425 76425 76425 90742 47935 153560 94439 94439 94439 94229 84802 84802 84802
r-517 24 0.855072 16 0.433333 20560 12666 12666 12666 25112 7743 28659 16703 16703 16703 28315 20186 20186 20186
r-495 18 0.294118 38 0.822191 83903 109311 83903 83903 143114 80500 121498 145296 121498 121498 108546 175772 108546 108546
r-527 34 0.919786 18 0.588235 411256 25588 25588 25588 391554 38612 605345 38032 38032 38032 362049 178095 178095 178095
r-484 36 0.687302 33 0.0435606 89911 1856220 89911 1856220 979132 279663 160257 2921484 160257 2921484 299593 843778 299593 843778
r-615 13 0.692308 33 0.274621 11137 21177 11137 11137 22330 12184 13567 27882 13567 13567 22861 35176 22861 22861
r-612 33 0.924242 37 0.870871 37640482 12275349 12275349 37640482 42015054 22785683 42040931 13444196 13444196 42040931 236592290 -1 -1 236592290
r-213 13 0.820513 18 0.104575 607 1069 607 607 977 420 1191 2255 1191 1191 1216 1198 1216 1216
r-569 17 0.382353 24 0.438406 141324 290817 290817 141324 311033 128125 214117 470330 470330 214117 206077 460306 460306 206077
