instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-816 35 0.710924 35 0.196639 189447 269245 189447 189447 272711 230023 280514 386391 280514 280514 1177668 919958 1177668 1177668
r-34 22 0.688312 24 0.764493 91325 477041 91325 91325 431736 104316 132987 749880 132987 132987 727865 569288 727865 727865
r-260 10 0.488889 25 0.516667 4077 2941 4077 4077 3157 4072 4233 3411 4233 4233 3272 3549 3272 3272
r-835 26 0.618462 30 0.926437 19321 1196476 19321 19321 903409 29509 23627 1681425 23627 23627 46639 3288167 46639 46639
r-287 13 0.384615 40 0.278205 5435 15851 5435 5435 14934 5664 4814 14640 4814 4814 6592 10911 6592 6592
r-882 22 0.82684 38 0.0896159 3699 2137 3699 3699 2471 2303 5280 3463 5280 5280 17741 4533 17741 17741
r-436 32 0.758065 15 0.133333 208 4471 208 4471 332 2742 218 7354 218 7354 4078 6307 4078 6307
r-257 36 0.274603 31 0.597849 1218534 1720155 1720155 1720155 1497338 959407 1870422 2656971 2656971 2656971 3518493 11640227 11640227 11640227
r-532 38 0.916074 29 0.137931 3598 1753 1753 1753 4303 2397 4876 1615 1615 1615 12565 23038 23038 23038
r-517 24 0.855072 16 0.433333 3243 5269 5269 5269 3847 2911 3885 6697 6697 6697 2645 4646 4646 4646
r-495 18 0.294118 38 0.822191 14860 11488 14860 14860 13438 15337 17065 3481 17065 17065 72473 14577 72473 72473
r-527 34 0.919786 18 0.588235 134498 7699 7699 7699 120621 13493 208998 11730 11730 11730 65963 150786 150786 150786
r-484 36 0.687302 33 0.0435606 8180 251507 8180 251507 12021 19099 7116 332393 7116 332393 55385 238352 55385 238352
r-615 13 0.692308 33 0.274621 3712 4366 3712 3712 4416 4138 3805 4330 3805 3805 14079 3817 14079 14079
r-612 33 0.924242 37 0.870871 30134079 2045974 2045974 30134079 6407883 17802380 33186621 1380500 1380500 33186621 224523352 -1 -1 224523352
r-213 13 0.820513 18 0.104575 95 133 95 95 153 112 232 309 232 232 407 131 407 407
r-569 17 0.382353 24 0.438406 81052 92365 92365 81052 107341 72730 129072 149516 149516 129072 148978 173009 173009 148978
r-72 40 0.0794872 15 0.361905 31795 10273 10273 10273 31827 15714 38142 13982 13982 13982 10463 16170 16170 16170
r-94 38 0.748222 34 0.536542 -1 29727089 29727089 29727089 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
