mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S
1085653144 1242872960 1099718329 1215350872 916698555 573151859 1085653144
102559060 121888569 119774587 137869322 93070459 105390238 105390238
123930 134804 191444 198809 118620 174179 123930
470409 538858 963775 1090450 396983 804764 470409
253723653 268654194 275520575 291793317 190839137 172708684 253723653
-1 -1 -1 -1 -1 -1 -1
77340939 96936419 84936462 96691870 68375242 78823139 78823139
23805223 28296667 36652032 41782213 21216134 30328054 30328054
1231788 1356495 1615387 1726834 1158030 1247511 1231788
16463903 23548680 18811516 21474313 16151938 19347323 16463903
12290 14290 17041 20200 12376 14193 12290
132788424 153649121 118111845 129316603 106617735 67492418 67492418
132 148 189 189 132 159 132
876951030 1121998194 633016496 719585238 698957481 472287209 472287209
49 32 65 46 50 66 49
314731 423214 368064 424817 235513 332094 314731
3422711 4194039 3671315 4200262 2770209 3371342 3422711
85 91 88 80 85 68 85
5690 5945 8270 8573 5173 6402 6402
972266 1192744 1352783 1483416 901500 1113525 972266
465 514 338 363 436 339 465
35846710 41525679 130012939 139653765 33973120 105916785 35846710
58241 67487 69770 78144 57807 55524 58241
66628 71028 65948 69972 57735 57821 66628
545797 613363 1466997 1603561 492539 1219868 545797
-1 -1 -1 -1 -1 -1 -1
117 158 135 135 143 165 117
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
3231 4334 6297 6766 3046 5618 3231
1068621 1225802 575062 601713 906780 490828 1068621
27256414 29225419 42961899 46571340 22772711 34174309 27256414
87611029 116365093 92136674 104372913 77374413 80394757 87611029
48984 58768 64290 68722 40792 53500 53500
9304 12967 8979 9422 8260 7089 7089
150923 192296 263237 1678883 172865 194338 150923
-1 -1 -1 -1 -1 -1 -1
3591 3868 6883 7020 2531 5256 3591
-1 -1 -1 -1 -1 -1 -1
631 697 590 643 546 532 631
-1 -1 4762606278 -1 -1 4061149924 -1
4460 4734 4071 4196 3827 3576 3576
81248401 95039261 112158089 113860584 71535356 76851591 76851591
1855384 2056080 2179758 2343309 1659864 1574455 1574455
239721842 249564453 244185685 254006665 171878670 161518832 239721842
480691954 534177931 2184362253 2320683745 381326933 1297760983 1297760983
106132 121774 109965 118702 92646 100433 106132
4197 10678 2808 2821 2968 2780 4197
2268 3480 2440 2755 1232 1325 1325
39657 43032 52947 54190 31916 48534 39657
107069 119905 76061 83284 93357 75631 107069
2049532 2563325 7323741 8311676 1836321 6592144 2049532
713040 825864 1072723 1173895 636308 768474 713040
-1 -1 -1 -1 -1 -1 -1
8325015 8859779 12945673 13595845 7382223 8040290 8325015
5007 5178 4422 4454 4700 4382 5007
13621835 15767552 25780793 27354262 12763065 20205447 13621835
624874 747979 666374 745466 571333 555482 555482
1086370123 1544951996 3164872468 -1 955664642 -1 -1
4266907761 -1 4565370763 -1 3634694117 3120839510 3120839510
3494 3631 3966 4113 3246 3173 3173
2368 2793 2732 2960 1974 2485 2368
364138106 411904204 479863577 539354572 352463868 444263767 364138106
718960 786839 871431 913622 668652 690945 690945
89 89 106 106 89 99 89
1232 1238 1041 1081 1077 889 1232
54437535 57401765 119094477 122955593 44523484 85107996 54437535
101846 97256 209312 212389 59507 157290 101846
467151458 540742096 604248252 667236442 431717944 466529570 467151458
